geoshape_city_id,名称,郡,出典
09B0090017,田野村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090018,南高根沢村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0090019,物部村,芳賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09C0030002,宇都宮町,河内郡,市町村制施行時 (1889)
09C0030003,上三川村,河内郡,明治19年便覧 (1886) / 市町村制施行時 (1889)
09C0030004,多功村/多功宿/多劫村,河内郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889)
09C0040002,谷中村,下都賀郡,市町村制施行時 (1889)
09C0050001,塩原村,塩谷郡,市町村制施行時 (1889)
09C0050002,矢板村,塩谷郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889)
09C0060001,賀蘇尾村,上都賀郡,市町村制施行時 (1889)
09C0060002,板来村,上都賀郡,市町村制施行時 (1889)
09C0060003,粟野村,上都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 市町村制施行時 (1889)
09C0070001,坂西村,足利郡,市町村制施行時 (1889)
09C0080001,西武茂村,那須郡,市町村制施行時 (1889)
09C0080002,武茂村,那須郡,市町村制施行時 (1889)
09C0090001,益子村,芳賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889)
09D0020001,越名村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020002,下多田村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834)
09D0020003,下彦間村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020004,会沢村,安蘇郡,明治19年便覧 (1886)
09D0020005,柿平村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020006,閑馬村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020007,岩崎村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020008,吉水村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020009,君田村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020010,戸室村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020011,戸奈良村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020012,御神楽村,安蘇郡,元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020013,高間村,安蘇郡,慶安郷帳 (1648)
09D0020014,高山村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020015,高萩村,安蘇郡,元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020016,黒袴村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020017,作原村,安蘇郡,元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020018,山越村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020019,山形村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020020,寺窪村/寺久保村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020021,秋山村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020022,舟渡川村,安蘇郡,慶安郷帳 (1648)
09D0020023,出流原村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020024,小屋町/小屋村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834)
09D0020025,小見村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020026,小中村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020027,上多田村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834)
09D0020028,上彦間村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020029,新関村,安蘇郡,慶安郷帳 (1648)
09D0020030,新吉水村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020031,水木村/水之木村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020032,石塚村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020033,赤坂村,安蘇郡,元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020034,浅沼村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020035,船越村/舟越村/舩越村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020036,船津川村/舟津川村,安蘇郡,元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886)
09D0020037,多田宿,安蘇郡,明治19年便覧 (1886)
